127.0.0.1 - - [21/May/2025:14:19:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/May/2025:14:19:58 +0530] "GET /LeaveManagementSystem/index.jsp HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [21/May/2025:14:19:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/May/2025:14:20:00 +0530] "GET /LeaveManagementSystem/login.jsp HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [21/May/2025:14:20:07 +0530] "POST /LeaveManagementSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2025:14:20:07 +0530] "GET /LeaveManagementSystem/admin_dashboard.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [21/May/2025:14:20:09 +0530] "GET /LeaveManagementSystem/admin.jsp HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [21/May/2025:14:20:12 +0530] "GET /LeaveManagementSystem/manage_users.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [21/May/2025:14:20:16 +0530] "GET /LeaveManagementSystem/view_all_leaves_admin.jsp HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [21/May/2025:14:31:05 +0530] "GET /LeaveManagementSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2025:14:31:05 +0530] "GET /LeaveManagementSystem/login.jsp HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:10 +0530] "POST /LeaveManagementSystem/LoginServlet HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:13 +0530] "GET /LeaveManagementSystem/login.jsp HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:12 +0530] "POST /LeaveManagementSystem/LoginServlet HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:14 +0530] "GET /LeaveManagementSystem/login.jsp HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:20 +0530] "POST /LeaveManagementSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:23 +0530] "GET /LeaveManagementSystem/student_dashboard.jsp HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:25 +0530] "GET /LeaveManagementSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:25 +0530] "GET /LeaveManagementSystem/login.jsp HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:31 +0530] "POST /LeaveManagementSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:31 +0530] "GET /LeaveManagementSystem/faculty_dashboard.jsp HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:33 +0530] "GET /LeaveManagementSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:33 +0530] "GET /LeaveManagementSystem/login.jsp HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:51 +0530] "POST /LeaveManagementSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:51 +0530] "GET /LeaveManagementSystem/admin_dashboard.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:53 +0530] "GET /LeaveManagementSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2025:14:35:53 +0530] "GET /LeaveManagementSystem/login.jsp HTTP/1.1" 200 2250
